%s: 2dfx-запись %d выходит за чанк	%s: 2dfx entry %d runs past the chunk	%s: la entrada 2dfx %d sobrepasa el chunk
%s: в чанке 2dfx %u лишних байт после %d записей	%s: %u extra bytes in the 2dfx chunk after %d entries	%s: %u bytes sobrantes en el chunk 2dfx tras %d entradas
%s: чанк Skin короче, чем требуют его счётчики (numBones %d, вершин %d) — RpClumpStreamRead вернёт NULL	%s: the Skin chunk is shorter than its counters require (numBones %d, %d vertices) — RpClumpStreamRead returns NULL	%s: el chunk Skin es más corto de lo que exigen sus contadores (numBones %d, %d vértices) — RpClumpStreamRead devuelve NULL
%s: в чанке Skin %u лишних байт	%s: %u extra bytes in the Skin chunk	%s: %u bytes sobrantes en el chunk Skin
%s: Breakable объявляет %d вершин / %d треугольников / %d материалов, но данных %u байт вместо %u — массивы останутся мусором	%s: Breakable declares %d vertices / %d triangles / %d materials, but holds %u bytes of data instead of %u — the arrays stay garbage	%s: Breakable declara %d vértices / %d triángulos / %d materiales, pero hay %u bytes de datos en vez de %u — los arrays quedan como basura
%s: Breakable: индекс вершины %d ≥ %d — краш при разрушении	%s: Breakable: vertex index %d ≥ %d — crash on break	%s: Breakable: índice de vértice %d ≥ %d — crash al romperse
%s: Breakable: индекс материала %d ≥ %d	%s: Breakable: material index %d ≥ %d	%s: Breakable: índice de material %d ≥ %d
%s: чанк NativeData (0x510) — платформенные данные, на PC-экспорте не место	%s: NativeData chunk (0x510) — platform data, does not belong in a PC export	%s: chunk NativeData (0x510) — datos de plataforma, no pintan nada en una exportación para PC
%s: 0 материалов при наличии мешей/треугольников — _rpMaterialListGetMaterial разыменует NULL → краш	%s: 0 materials while meshes/triangles exist — _rpMaterialListGetMaterial dereferences NULL → crash	%s: 0 materiales habiendo meshes/triángulos — _rpMaterialListGetMaterial desreferencia NULL → crash
%s: BinMesh materialIndex %d ≥ numMaterials %d — указатель за массивом, краш при рендере	%s: BinMesh materialIndex %d ≥ numMaterials %d — pointer past the array, crash on render	%s: BinMesh materialIndex %d ≥ numMaterials %d — puntero fuera del array, crash al renderizar
%s: сумма индексов мешей %u > totalIndices %u — запись за выделенный буфер (порча кучи)	%s: sum of mesh indices %u > totalIndices %u — write past the allocated buffer (heap corruption)	%s: la suma de índices de los meshes %u > totalIndices %u — escritura fuera del búfer reservado (corrupción del heap)
%s: сумма индексов %u < totalIndices %u	%s: sum of indices %u < totalIndices %u	%s: suma de índices %u < totalIndices %u
%s: BinMesh без мешей — ничего не рисуется (невидимая модель)	%s: BinMesh without meshes — nothing is drawn (invisible model)	%s: BinMesh sin meshes — no se dibuja nada (modelo invisible)
%s: индекс %d в BinMesh ≥ numVertices %d — треугольники из мусора (при большом выходе — краш инстансера)	%s: index %d in the BinMesh ≥ numVertices %d — triangles from garbage (far out of range → instancer crash)	%s: índice %d en el BinMesh ≥ numVertices %d — triángulos de basura (si se pasa mucho, crash del instanciador)
%s: BinMesh flags=%d (%s), а у геометрии флаг TRISTRIP %s — при наличии BinMesh рисуется по его флагу	%s: BinMesh flags=%d (%s), while the geometry TRISTRIP flag is %s — with a BinMesh present its flag decides the drawing	%s: BinMesh flags=%d (%s), pero el flag TRISTRIP de la geometría %s — con BinMesh presente se dibuja según su flag
есть	set	está
нет	not set	no está
%s: без BinMesh; matId %d в треугольниках ≥ numMaterials %d — RpGeometryUnlock разыменует мусор	%s: no BinMesh; matId %d in the triangles ≥ numMaterials %d — RpGeometryUnlock dereferences garbage	%s: sin BinMesh; matId %d en los triángulos ≥ numMaterials %d — RpGeometryUnlock desreferencia basura
%s: индекс вершины %d ≥ numVertices %d	%s: vertex index %d ≥ numVertices %d	%s: índice de vértice %d ≥ numVertices %d
%s: без чанка BinMesh — меши строятся при загрузке из треугольников	%s: no BinMesh chunk — the meshes are built from the triangles at load	%s: sin chunk BinMesh — los meshes se construyen al cargar a partir de los triángulos
%s: %d из %d материалов чёрные (0,0,0) при флаге MODULATEMATERIALCOLOR — prelit × 0 = %s	%s: %d of %d materials are black (0,0,0) with the MODULATEMATERIALCOLOR flag — prelit × 0 = %s	%s: %d de %d materiales negros (0,0,0) con el flag MODULATEMATERIALCOLOR — prelit × 0 = %s
вся геометрия чёрная	the whole geometry is black	toda la geometría negra
эти меши чёрные (если не задумано)	those meshes are black (unless intended)	esos meshes negros (si no es intencionado)
%s: материал %d с alpha %u ≠ 255 — меш уходит в альфа-проход (сортировка)	%s: material %d with alpha %u ≠ 255 — the mesh goes into the alpha pass (sorting)	%s: material %d con alpha %u ≠ 255 — el mesh pasa al pase alfa (ordenación)
%s: материал %d textured=1 с пустым именем — texture = NULL	%s: material %d textured=1 with an empty name — texture = NULL	%s: material %d textured=1 con nombre vacío — texture = NULL
%s: имя текстуры «%s» длиннее 31 символа — в TXD имена обрезаются до 31, совпадения не будет	%s: texture name «%s» longer than 31 characters — TXD names are cut to 31, it will never match	%s: nombre de textura «%s» de más de 31 caracteres — en el TXD los nombres se recortan a 31, nunca coincidirá
%s: материал %d: %d UV-анимаций (максимум 8)	%s: material %d: %d UV animations (maximum 8)	%s: material %d: %d animaciones UV (máximo 8)
ATOMIC без STRUCT	ATOMIC without STRUCT	ATOMIC sin STRUCT
STRUCT атомика длиной %u > 16 — RwStreamRead в 16-байтовый локальный буфер затирает адрес возврата → краш	atomic STRUCT of length %u > 16 — RwStreamRead into a 16-byte local buffer overwrites the return address → crash	STRUCT del atomic de longitud %u > 16 — RwStreamRead en un búfer local de 16 bytes sobrescribe la dirección de retorno → crash
атомик %d: frameIndex %d вне 0..%d — атомик привязывается к мусорному фрейму	atomic %d: frameIndex %d outside 0..%d — the atomic is attached to a garbage frame	atomic %d: frameIndex %d fuera de 0..%d — el atomic se engancha a un frame basura
атомик %d при пустом списке фреймов — GetFrameNodeName(NULL) → краш	atomic %d with an empty frame list — GetFrameNodeName(NULL) → crash	atomic %d con lista de frames vacía — GetFrameNodeName(NULL) → crash
атомик %d: geometryIndex %d вне 0..%d — RpGeometryAddRef по мусору	atomic %d: geometryIndex %d outside 0..%d — RpGeometryAddRef on garbage	atomic %d: geometryIndex %d fuera de 0..%d — RpGeometryAddRef sobre basura
атомик %d: список геометрий пуст и нет встроенной GEOMETRY	atomic %d: the geometry list is empty and there is no embedded GEOMETRY	atomic %d: la lista de geometrías está vacía y no hay GEOMETRY incrustada
атомик %d	atomic %d	atomic %d
атомик %d: плагин Pipeline Set длиной %d вместо 4 — PipelineStreamRead пишет %s	atomic %d: Pipeline Set plugin of length %d instead of 4 — PipelineStreamRead writes %s	atomic %d: plugin Pipeline Set de longitud %d en vez de 4 — PipelineStreamRead escribe %s
за пределы плагина (порча кучи)	past the plugin (heap corruption)	fuera del plugin (corrupción del heap)
неполный id	an incomplete id	un id incompleto
файл короче 12 байт	file shorter than 12 bytes	archivo más corto que 12 bytes
не найден чанк CLUMP (0x10) — не DFF или мусор	no CLUMP chunk (0x10) found — not a DFF, or garbage	no se encontró el chunk CLUMP (0x10) — no es un DFF o es basura
версия RW 0x%X (libid 0x%08X) вне %s — RwErrorSet, RpClumpStreamRead вернёт NULL → модель никогда не загрузится	RW version 0x%X (libid 0x%08X) outside %s — RwErrorSet, RpClumpStreamRead returns NULL → the model never loads	versión RW 0x%X (libid 0x%08X) fuera de %s — RwErrorSet, RpClumpStreamRead devuelve NULL → el modelo nunca se carga
SA: сохраняй с libid 0x1803FFFF. Файлы III/VC (0x31000/0x33002) в SA не работают.	SA: save with libid 0x1803FFFF. III/VC files (0x31000/0x33002) do not work in SA.	SA: guarda con libid 0x1803FFFF. Los archivos de III/VC (0x31000/0x33002) no funcionan en SA.
VC (RW 3.4.0.3) читает файлы III и VC; файлы SA (0x36003) нужно пересохранить с libid 0x0C02FFFF.	VC (RW 3.4.0.3) reads III and VC files; SA files (0x36003) must be re-saved with libid 0x0C02FFFF.	VC (RW 3.4.0.3) lee archivos de III y VC; los archivos de SA (0x36003) deben volver a guardarse con libid 0x0C02FFFF.
III (RW 3.3.0.2) читает только 3.1–3.3; файлы VC/SA нужно пересохранить с libid 0x0800FFFF.	III (RW 3.3.0.2) reads only 3.1–3.3; VC/SA files must be re-saved with libid 0x0800FFFF.	III (RW 3.3.0.2) sólo lee 3.1–3.3; los archivos de VC/SA deben volver a guardarse con libid 0x0800FFFF.
CLUMP объявляет %u байт, файл короче	CLUMP declares %u bytes, the file is shorter	CLUMP declara %u bytes, el archivo es más corto
CLUMP без STRUCT	CLUMP without STRUCT	CLUMP sin STRUCT
GEOMETRYLIST объявляет %d геометрий, найдено %d → LOAD-FAIL	GEOMETRYLIST declares %d geometries, %d found → LOAD-FAIL	GEOMETRYLIST declara %d geometrías, encontradas %d → LOAD-FAIL
CLUMP объявляет %d атомиков, найдено %d → LOAD-FAIL	CLUMP declares %d atomics, %d found → LOAD-FAIL	CLUMP declara %d atomics, encontrados %d → LOAD-FAIL
словарь UV-анимаций (0x2B) стоит ПОСЛЕ CLUMP — ConvertBufferToObject смотрит только первый чанк файла, словарь не читается, все UV-анимации станут статичными	the UV-animation dictionary (0x2B) comes AFTER the CLUMP — ConvertBufferToObject looks only at the first chunk of the file, the dictionary is not read, every UV animation becomes static	el diccionario de animaciones UV (0x2B) está DESPUÉS del CLUMP — ConvertBufferToObject solo mira el primer chunk del archivo, el diccionario no se lee, todas las animaciones UV quedarán estáticas
второй CLUMP — низкодетальная модель педа (III: CFileLoader::LoadClumpFile → SetLowDetailClump)	second CLUMP — the ped's low-detail model (III: CFileLoader::LoadClumpFile → SetLowDetailClump)	segundo CLUMP — modelo de bajo detalle del ped (III: CFileLoader::LoadClumpFile → SetLowDetailClump)
в файле несколько CLUMP — читаются только для мультикламповых катсценных объектов	several CLUMPs in the file — only read for multi-clump cutscene objects	varios CLUMP en el archivo — solo se leen en objetos de cinemática multi-clump
HAnim «%s»: версия 0x%X вместо 0x100 — RpClumpStreamRead вернёт NULL	HAnim «%s»: version 0x%X instead of 0x100 — RpClumpStreamRead returns NULL	HAnim «%s»: versión 0x%X en vez de 0x100 — RpClumpStreamRead devuelve NULL
нет таблицы узлов HAnim (numNodes > 0) ни на одном фрейме — движок пишет по нулевому указателю при загрузке	no HAnim node table (numNodes > 0) on any frame — the engine writes through a null pointer at load	no hay tabla de nodos HAnim (numNodes > 0) en ningún frame — el motor escribe por un puntero nulo al cargar
таблица узлов HAnim на %d фреймах — используется первая, остальные утекут	HAnim node tables on %d frames — the first is used, the rest leak	tabla de nodos HAnim en %d frames — se usa la primera, el resto se fuga
HAnim «%s»: флаг 0x2 (без матриц) — краш при загрузке	HAnim «%s»: flag 0x2 (no matrices) — crash at load	HAnim «%s»: flag 0x2 (sin matrices) — crash al cargar
HAnim «%s»: размер ключа %d < 28 — переполнение кучи при каждом спавне	HAnim «%s»: key size %d < 28 — heap overflow on every spawn	HAnim «%s»: tamaño de clave %d < 28 — desbordamiento del heap en cada spawn
HAnim: %d узлов > 256 — переполнение буфера матриц	HAnim: %d nodes > 256 — matrix buffer overflow	HAnim: %d nodos > 256 — desbordamiento del búfer de matrices
таблица узлов лежит на корневом фрейме «%s» — пед отрисуется в начале координат; таблицу несёт первая кость	the node table sits on the root frame «%s» — the ped renders at the origin; the first bone must carry the table	la tabla de nodos está en el frame raíz «%s» — el peatón se dibujará en el origen; la tabla debe llevarla el primer hueso
id кости %d повторяется (узлы %d и %d) — коллизия и анимация крутят разные копии	bone id %d repeats (nodes %d and %d) — collision and animation drive different copies	el id de hueso %d se repite (nodos %d y %d) — colisión y animación mueven copias distintas
узел %d (id %d) несёт индекс %d — порядок узлов не совпадает с порядком матриц скина	node %d (id %d) carries index %d — the node order does not match the skin matrix order	el nodo %d (id %d) lleva el índice %d — el orden de nodos no coincide con el orden de matrices del skin
глубина push %d на узле %d > 31 — стек костей затрёт адрес возврата	push depth %d at node %d > 31 — the bone stack overwrites the return address	profundidad de push %d en el nodo %d > 31 — la pila de huesos sobrescribe la dirección de retorno
узел %d (id %d) делает pop из пустого стека, а за ним ещё есть узлы — мусорная родительская матрица	node %d (id %d) pops from an empty stack while more nodes follow — garbage parent matrix	el nodo %d (id %d) hace pop de una pila vacía y aún quedan nodos — matriz padre basura
нет костей с id %s — CPed заполняет m_pFrames по этим тегам (RpHAnimIDGetIndex даёт −1 → указатель перед массивом)	no bones with id %s — CPed fills m_pFrames by these tags (RpHAnimIDGetIndex gives −1 → pointer before the array)	faltan huesos con id %s — CPed rellena m_pFrames por estas etiquetas (RpHAnimIDGetIndex da −1 → puntero antes del array)
нет костей с id %s — движок обращается к ним на каждом педе (хит-сферы, тени, m_apBones) и пишет мимо массива матриц	no bones with ids %s — the engine accesses them on every ped (hit spheres, shadows, m_apBones) and writes past the matrix array	no hay huesos con id %s — el motor accede a ellos en cada peatón (esferas de impacto, sombras, m_apBones) y escribe fuera del array de matrices
нет костей с id %s — root/pelvis/spine (PedIK берёт spine по id)	no bones with id %s — root/pelvis/spine (PedIK takes spine by id)	faltan huesos con id %s — root/pelvis/spine (PedIK toma spine por id)
нет костей с id %s — используются по условию (дождь, открытая машина, байк, пальцы, лицо)	no bones with ids %s — used conditionally (rain, open car, bike, fingers, face)	no hay huesos con id %s — se usan condicionalmente (lluvia, coche abierto, moto, dedos, cara)
в клампе нет атомиков — CreateHitColModelSkinned обратится к NULL-иерархии	no atomics in the clump — CreateHitColModelSkinned will use a NULL hierarchy	el clump no tiene atomics — CreateHitColModelSkinned accederá a una jerarquía NULL
последний атомик файла (геометрия %d) без скина — движок берёт его как первый, иерархия не назначится → краш	the last atomic of the file (geometry %d) has no skin — the engine takes it as the first one, no hierarchy gets assigned → crash	el último atomic del archivo (geometría %d) no tiene skin — el motor lo toma como el primero, no se asigna jerarquía → crash
геометрия %d: skin.numBones = 0 — таблица костей нулевого размера, порча кучи при спавне	geometry %d: skin.numBones = 0 — zero-sized bone table, heap corruption on spawn	geometría %d: skin.numBones = 0 — tabla de huesos de tamaño cero, corrupción del heap al hacer spawn
геометрия %d: %d костей > 64 — переполнение стека при спавне	geometry %d: %d bones > 64 — stack overflow on spawn	geometría %d: %d huesos > 64 — desbordamiento de pila al hacer spawn
геометрия %d: костей в скине %d, а узлов в HAnim %d — палитра и ключи читаются мимо массивов	geometry %d: %d bones in the skin but %d nodes in the HAnim — the palette and keys are read past the arrays	geometría %d: %d huesos en el skin pero %d nodos en el HAnim — la paleta y las claves se leen fuera de los arrays
геометрия %d: maxWeights = %d — допустимо 1..4	geometry %d: maxWeights = %d — 1..4 allowed	geometría %d: maxWeights = %d — se admite 1..4
геометрия %d: список используемых костей пуст — палитра не загрузится	geometry %d: the used-bone list is empty — the palette will not load	geometría %d: la lista de huesos usados está vacía — la paleta no cargará
геометрия %d: %d вершин без единого веса — деление 1/0 при нормализации, вершины NaN	geometry %d: %d vertices without a single weight — 1/0 division at normalisation, NaN vertices	geometría %d: %d vértices sin ningún peso — división 1/0 al normalizar, vértices NaN
геометрия %d: у %d вершин сумма весов ≠ 1	geometry %d: %d vertices whose weights do not sum to 1	geometría %d: %d vértices cuya suma de pesos ≠ 1
геометрия %d: %d отрицательных весов	geometry %d: %d negative weights	geometría %d: %d pesos negativos
геометрия %d: %d весов NaN/inf	geometry %d: %d NaN/inf weights	geometría %d: %d pesos NaN/inf
геометрия %d: индексы костей ≥ numBones (%d) — такие вершины прилипнут к кости 0	geometry %d: bone indices ≥ numBones (%d) — those vertices stick to bone 0	geometría %d: índices de hueso ≥ numBones (%d) — esos vértices se pegarán al hueso 0
геометрия %d: кости %s имеют веса, но не входят в список используемых — их матрица останется от предыдущей модели	geometry %d: bones %s have weights but are not in the used list — their matrix stays from the previous model	geometría %d: los huesos %s tienen pesos pero no están en la lista de usados — su matriz quedará la del modelo anterior
геометрия %d: матрица кости %d содержит NaN/inf	geometry %d: bone matrix %d contains NaN/inf	geometría %d: la matriz del hueso %d contiene NaN/inf
геометрия %d: матрица кости %d вырождена (det ≈ 0) — мусорные смещения костей	geometry %d: bone matrix %d is degenerate (det ≈ 0) — garbage bone offsets	geometría %d: la matriz del hueso %d es degenerada (det ≈ 0) — desplazamientos de hueso basura
атомик «%s» с суффиксом _dam, а модель в IDE без флага 0x1000 — SetDamagedAtomic(this=NULL) → краш	atomic «%s» with the _dam suffix while the IDE model lacks flag 0x1000 — SetDamagedAtomic(this=NULL) → crash	atomic «%s» con sufijo _dam pero el modelo en el IDE no tiene el flag 0x1000 — SetDamagedAtomic(this=NULL) → crash
Добавь флаг 0x1000 в IDE или переименуй фрейм.	Add flag 0x1000 in the IDE or rename the frame.	Añade el flag 0x1000 en el IDE o renombra el frame.
атомик «%s»: трансформация фрейма будет отброшена (objs-модель получает новый единичный фрейм)	atomic «%s»: the frame transform will be discarded (an objs model gets a fresh identity frame)	atomic «%s»: la transformación del frame se descartará (un modelo objs recibe un frame identidad nuevo)
0 атомиков в objs/tobj-модели — SetAtomic не вызывается, LoadAtomicFile вернёт 0 → LOAD-FAIL	0 atomics in an objs/tobj model — SetAtomic is never called, LoadAtomicFile returns 0 → LOAD-FAIL	0 atomics en un modelo objs/tobj — SetAtomic no se llama, LoadAtomicFile devuelve 0 → LOAD-FAIL
%d обычных атомиков в objs/tobj-модели — SetAtomic хранит один, отрисуется только ПЕРВЫЙ в файле, остальные (и их 2dfx) потеряны	%d regular atomics in an objs/tobj model — SetAtomic keeps one, only the FIRST in the file is drawn, the others (and their 2dfx) are lost	%d atomics normales en un modelo objs/tobj — SetAtomic guarda uno, solo se dibuja el PRIMERO del archivo, el resto (y sus 2dfx) se pierde
objs-модель = ровно один атомик (+ один _dam для разрушаемых).	An objs model = exactly one atomic (+ one _dam for breakables).	Un modelo objs = exactamente un atomic (+ un _dam en los rompibles).
модель с флагом 0x1000 (разрушаемая) без атомика _dam — повреждённая версия невидима	model with flag 0x1000 (breakable) without a _dam atomic — the damaged version is invisible	modelo con flag 0x1000 (rompible) sin atomic _dam — la versión dañada es invisible
%d атомиков _dam — используется один	%d _dam atomics — one is used	%d atomics _dam — se usa uno
кламп-модель (anim/hier) без атомиков — CEntity::CreateRwObject: GetFirstAtomic → NULL → краш при первом размещении	clump model (anim/hier) without atomics — CEntity::CreateRwObject: GetFirstAtomic → NULL → crash on the first placement	modelo clump (anim/hier) sin atomics — CEntity::CreateRwObject: GetFirstAtomic → NULL → crash en la primera colocación
атомик %d без флага rpATOMICRENDER (4) — RpClumpRender его пропустит (невидим)	atomic %d without the rpATOMICRENDER flag (4) — RpClumpRender skips it (invisible)	atomic %d sin el flag rpATOMICRENDER (4) — RpClumpRender lo saltará (invisible)
UV-анимации в кламп-модели (anim/hier) — словарь читается только для атомик-моделей, PreRender их не обновляет	UV animations in a clump model (anim/hier) — the dictionary is read only for atomic models, PreRender does not update them	animaciones UV en un modelo clump (anim/hier) — el diccionario solo se lee en modelos atomic, PreRender no las actualiza
2dfx на %d атомиках кламп-модели — учитываются только эффекты последнего в файле атомика с эффектами	2dfx on %d atomics of a clump model — only the effects of the last atomic with effects in the file count	2dfx en %d atomics de un modelo clump — solo cuentan los efectos del último atomic con efectos del archivo
атомик %d: Pipeline Set 0x%08X неизвестен — стандартный RW-пайплайн с динамическим освещением вместо building-шейдера	atomic %d: Pipeline Set 0x%08X unknown — the standard RW pipeline with dynamic lighting instead of the building shader	atomic %d: Pipeline Set 0x%08X desconocido — pipeline RW estándar con iluminación dinámica en vez del shader de edificios
атомик %d: car-пайплайн 0x53F2009A на объекте карты (тюнинг-детали так и делают)	atomic %d: car pipeline 0x53F2009A on a map object (tuning parts do this)	atomic %d: pipeline de coche 0x53F2009A en un objeto del mapa (las piezas de tuning lo hacen así)
атомик %d: UV-анимации в материалах, но у атомика нет плагина MatFX (0x120) с ненулевым флагом — RpMatFXAtomicQueryEffects = 0, анимации заморожены	atomic %d: UV animations in the materials, but the atomic has no MatFX plugin (0x120) with a non-zero flag — RpMatFXAtomicQueryEffects = 0, the animations are frozen	atomic %d: animaciones UV en los materiales, pero el atomic no tiene plugin MatFX (0x120) con flag distinto de cero — RpMatFXAtomicQueryEffects = 0, animaciones congeladas
геометрия %d: prelit без ночных цветов — статичный vertex colour (не реагирует на день/ночь)	geometry %d: prelit without night colours — static vertex colour (does not react to day/night)	geometría %d: prelit sin colores nocturnos — vertex colour estático (no reacciona al día/noche)
%d 2dfx-эффектов — счётчик модели байтовый, эффекты выше 255 перепутаются	%d 2dfx effects — the model counter is a byte, effects above 255 get mixed up	%d efectos 2dfx — el contador del modelo es un byte, los efectos por encima de 255 se mezclan
материал ссылается на UV-анимацию «%s», но в файле нет словаря — подставится статичная identity-анимация	material references UV animation «%s», but the file has no dictionary — a static identity animation is substituted	el material referencia la animación UV «%s», pero el archivo no tiene diccionario — se sustituye por una animación identidad estática
UV-анимация «%s» отсутствует в словаре — статичная identity-анимация (в ванили встречается)	UV animation «%s» is missing in the dictionary — static identity animation (occurs in vanilla)	la animación UV «%s» no está en el diccionario — animación identidad estática (ocurre en vanilla)
материал с UV-анимацией имеет MatFX effect %d вместо 5 (UV transform)	material with a UV animation has MatFX effect %d instead of 5 (UV transform)	el material con animación UV tiene el efecto MatFX %d en vez de 5 (UV transform)
материал с текстурой «%s» не используется ни одним полигоном — текстура из TXD «%s» грузится зря	material with texture «%s» is used by no polygon — the texture from TXD «%s» loads for nothing	el material con la textura «%s» no lo usa ningún polígono — la textura del TXD «%s» se carga en vano
Лишний материал экспорта; убери его при переэкспорте, а текстуру — из TXD, если её не рисует никто другой (QLT-12).	A leftover export material; drop it on re-export, and the texture from the TXD if nobody else draws it (QLT-12).	Material sobrante de la exportación; quítalo al reexportar, y la textura del TXD si nadie más la dibuja (QLT-12).
материал с текстурой «%s» не используется ни одним полигоном, самой текстуры в TXD «%s» тоже нет — на вид не влияет	the material with texture «%s» is used by no polygon, and the texture is not in TXD «%s» either — no visible effect	el material con la textura «%s» no lo usa ningún polígono, y la textura tampoco está en el TXD «%s» — no afecta a la vista
Лишний материал экспорта; можно убрать при переэкспорте.	An exporter leftover; it goes away on re-export.	Sobrante de la exportación; desaparece al reexportar.
текстура «%s» отсутствует в TXD «%s»%s — материал отрисуется без текстуры (белый/серый)	texture «%s» is missing in TXD «%s»%s — the material renders without a texture (white/grey)	la textura «%s» no está en el TXD «%s»%s — el material se dibujará sin textura (blanco/gris)
 (есть только в generic.txd)	 (only in generic.txd)	 (solo está en generic.txd)
RwTextureRead ищет по цепочке TXD → родители (регистр не важен); не найдено → material->texture = NULL.	RwTextureRead searches the TXD chain → parents (case-insensitive); not found → material->texture = NULL.	RwTextureRead busca por la cadena TXD → padres (sin distinguir mayúsculas); si no la encuentra → material->texture = NULL.
ped-модель без Skin-плагина — CPedModelInfo::SetClump ждёт скин на первом атомике	ped model without a Skin plugin — CPedModelInfo::SetClump expects a skin on the first atomic	modelo de peatón sin plugin Skin — CPedModelInfo::SetClump espera un skin en el primer atomic
нет фреймов %s — m_pFrames[PED_*] остаются пустыми, PedIK/оружие/хит-сферы разыменуют NULL	no frames %s — m_pFrames[PED_*] stay empty, PedIK/weapons/hit spheres dereference NULL	faltan frames %s — m_pFrames[PED_*] quedan vacíos, PedIK/armas/esferas de impacto desreferencian NULL
III (без скина): CPedModelInfo::SetFrameIds ищет фреймы по имени без учёта регистра: Smid Shead Supperarml Supperarmr SLhand SRhand Supperlegl Supperlegr Sfootl Sfootr Slowerlegr.	III (no skin): CPedModelInfo::SetFrameIds looks frames up by name, case-insensitive: Smid Shead Supperarml Supperarmr SLhand SRhand Supperlegl Supperlegr Sfootl Sfootr Slowerlegr.	III (sin skin): CPedModelInfo::SetFrameIds busca los frames por nombre sin distinguir mayúsculas: Smid Shead Supperarml Supperarmr SLhand SRhand Supperlegl Supperlegr Sfootl Sfootr Slowerlegr.
ped-модель со Skin-плагином — gta3.exe (PC) рисует педов иерархией фреймов, скин не используется	ped model with a Skin plugin — gta3.exe (PC) draws peds as a frame hierarchy, the skin is not used	modelo de ped con plugin Skin — gta3.exe (PC) dibuja los peds como jerarquía de frames, el skin no se usa
плагин коллизии в DFF не начинается с COL2/COL3 — старый формат (III/VC), в SA не используется	the collision plugin in the DFF does not start with COL2/COL3 — old format (III/VC), unused in SA	el plugin de colisión del DFF no empieza por COL2/COL3 — formato antiguo (III/VC), no se usa en SA
DFF в архиве, но ни один IDE его не объявляет — мёртвый груз (или IDE не в gta.dat)	DFF in the archive, but no IDE declares it — dead weight (or the IDE is not in gta.dat)	DFF en el archivo, pero ningún IDE lo declara — peso muerto (o el IDE no está en gta.dat)
…и ещё %d DFF без IDE-объявления	…and %d more DFFs without an IDE declaration	…y %d DFF más sin declaración en IDE
data/handling.cfg не найден — LoadHandlingData не проверяет FILE*, fgets(NULL) → краш при старте	data/handling.cfg not found — LoadHandlingData does not check the FILE*, fgets(NULL) → crash at startup	data/handling.cfg no encontrado — LoadHandlingData no comprueba el FILE*, fgets(NULL) → crash al arrancar
строка длиннее 511 символов — LoadLine разрежет её на две	line longer than 511 characters — LoadLine cuts it in two	línea de más de 511 caracteres — LoadLine la cortará en dos
пустая (или пробельная) строка до «;the end» — car-ветка делает strtok("") → NULL и без проверки идёт в FindExactWord(NULL) → strncmp(NULL) → краш	empty (or blank) line before «;the end» — the car branch does strtok("") → NULL and goes unchecked into FindExactWord(NULL) → strncmp(NULL) → crash	línea vacía (o de espacios) antes de «;the end» — la rama de coches hace strtok("") → NULL y sin comprobar va a FindExactWord(NULL) → strncmp(NULL) → crash
В handling.cfg не должно быть пустых строк; комментарий — только «;» первым символом. «#» комментарием НЕ является.	handling.cfg must not contain empty lines; a comment is only «;» as the first character. «#» is NOT a comment.	handling.cfg no debe tener líneas vacías; un comentario es solo «;» como primer carácter. «#» NO es un comentario.
строка из одного «!» — цикл кончается сразу и ConvertBikeDataToGameUnits(предыдущий указатель) — NULL для первой байк-строки → краш	line of a single «!» — the loop ends at once and ConvertBikeDataToGameUnits(previous pointer) — NULL for the first bike line → crash	línea con un solo «!» — el bucle termina de inmediato y ConvertBikeDataToGameUnits(puntero anterior) — NULL para la primera línea de moto → crash
строка из одного «%c» — ничего не записано	line of a single «%c» — nothing written	línea con un solo «%c» — no se escribe nada
байк	bike	moto
летающая	flying	volador
лодка	boat	barco
%c %s: имя не из 210 встроенных — FindExactWord вернёт 210: запись уйдёт в чужой массив (%s)	%c %s: name not among the 210 built-ins — FindExactWord returns 210: the record goes into a foreign array (%s)	%c %s: nombre no incluido en los 210 integrados — FindExactWord devuelve 210: el registro irá a un array ajeno (%s)
внутрь m_aBoatHandling[2..3] REEFER/RIO	into m_aBoatHandling[2..3] REEFER/RIO	dentro de m_aBoatHandling[2..3] REEFER/RIO
Своих имён в handling.cfg быть не может — таблица имён вшита в exe; переиспользуй одно из 210.	Custom names are impossible in handling.cfg — the name table is built into the exe; reuse one of the 210.	En handling.cfg no puede haber nombres propios — la tabla de nombres está en el exe; reutiliza uno de los 210.
имя «%s» совпало с «%s» только по префиксу (strncmp по длине ячейки) — данные лягут в %s	name «%s» matched «%s» by prefix only (strncmp over the cell length) — the data lands in %s	el nombre «%s» coincidió con «%s» solo por prefijo (strncmp por la longitud de la celda) — los datos irán a %s
%c %s: индекс %d не из диапазона %s (%s) — запись ложится в чужую структуру (%s)	%c %s: index %d not in the range %s (%s) — the record lands in a foreign structure (%s)	%c %s: el índice %d no está en el rango %s (%s) — el registro cae en una estructura ajena (%s)
0x8F54+id*0x40 внутри m_aVehicleHandling	0x8F54+id*0x40 inside m_aVehicleHandling	0x8F54+id*0x40 dentro de m_aVehicleHandling
0x7B24+id*0x58 внутри m_aVehicleHandling	0x7B24+id*0x58 inside m_aVehicleHandling	0x7B24+id*0x58 dentro de m_aVehicleHandling
